,N1-Light,N1-Short,N1-Medium,N1-Long
1994-01-01,3644,53,68.5,50.5
1994-01-02,4830,82.5,82.5,65
1994-01-03,4827,100,88.5,69
1994-01-04,3982,76.5,87.5,163
1994-01-05,5514.833333,215.5,227,264.3333333
1994-01-06,5390.833333,229.3333333,217.5,274.6666667
1994-01-07,6881.333333,223.6666667,224.5,227.8333333
1994-01-08,11978.42857,218,182.4285714,179.8571429
1994-01-09,12838.14286,165.4285714,187.2857143,164.4285714
1994-01-10,13708.71429,490.4285714,246.8571429,206
1994-01-11,12570.375,582.25,312,321
1994-01-12,10842.9,524.7,283.8,285.8
1994-01-13,16269.63636,644.7272727,315.2727273,300.1818182
1994-01-14,18595.81818,610.1818182,312.6363636,270.0909091
1994-01-15,12709.72727,201.1818182,172.1818182,184.0909091
1994-01-16,12452.45455,135.0909091,160.0909091,144.3636364
1994-01-17,15950.18182,582.5454545,281,224.1818182
1994-01-18,15649.91667,660.3333333,320,305.9166667
1994-01-19,16385.72727,696,319.1818182,295.7272727
1994-01-20,15172.08333,642.9166667,312.1666667,301.6666667
1994-01-21,18824.69231,620,296.8461538,235.6153846
1994-01-22,18455.92308,269.8461538,191.1538462,160.0769231
1994-01-23,16579.53846,162.6923077,167,150.7692308
1994-01-24,20552.69231,767.6153846,313.5384615,214.6153846
1994-01-25,21966.16667,898.75,385.9166667,313
1994-01-26,23437.33333,908,392,324.8333333
1994-01-27,23912.91667,962.3333333,412.5833333,321.5833333
1994-01-28,27490.4,848.6,332.2,259.3
1994-01-29,18621.6,265.6,170.8,172.8
1994-01-30,16957.72727,160.1818182,165.0909091,171.9090909
1994-01-31,21748.77778,701.6666667,267.5555556,230.6666667
1994-02-01,19598,807.5555556,321.7777778,296.8888889
1994-02-02,21407.875,835.375,277.875,278.75
1994-02-03,19315.55556,776.7777778,270.4444444,254.6666667
1994-02-04,23483.7,942.5,334.9,264.7
1994-02-05,14957.54545,283.2727273,196.4545455,220.0909091
1994-02-06,14649.18182,167.0909091,173.5454545,179.7272727
1994-02-07,18840.09091,807.1818182,323.0909091,264.2727273
