"","y","sa","t","s","i"
"1",1594000,1158943.02127502,1152311.98784595,1.37539117173022,1.00575454694475
"2",1563000,1145511.04369934,1150575.86018804,1.36445650925583,0.995598016033573
"3",1551000,1145668.42143951,1149993.35604791,1.35379484236041,0.996239165569386
"4",1533000,1148644.5208239,1151923.06485767,1.33461656083156,0.997153851560239
"5",1534000,1150841.26279086,1156269.39955823,1.33293795556127,0.995305473992964
"6",1557000,1162283.69625157,1162803.68195832,1.33960409581706,0.999552817285654
"7",1579000,1169024.61742731,1170547.74957063,1.35069867345901,0.99869878683388
"8",1625000,1179217.7608463,1178780.08071858,1.37803216162024,1.00037129922271
"9",1621000,1192650.92273726,1186169.19631954,1.35915712560691,1.00546441977909
"10",1577000,1191471.93033324,1191578.90542615,1.32357293516678,0.999910224079644
"11",1525000,1190411.29753929,1197012.3033157,1.28106983120232,0.994485431972482
"12",1505000,1204889.0336069,1204331.19504785,1.24907768103317,1.00046319364751
"13",1470000,1216820.37982434,1211709.77746112,1.20806655145947,1.00421767857145
"14",1410000,1218678.27375981,1217251.88442137,1.15699116851401,1.0011718111565
"15",1386000,1224003.10526816,1221138.45673765,1.1323500684227,1.00234588347841
"16",1342000,1226817.96625771,1223395.18117772,1.09388681687931,1.00279777551249
"17",1302000,1224645.46691208,1224054.90888551,1.06316483845971,1.00048246040458
"18",1242000,1229792.11594585,1222946.07059274,1.00992678672749,1.00559799448049
"19",1169000,1215950.07036491,1220304.43359442,0.961388159342081,0.996431740220198
"20",1129000,1219995.81253478,1217517.68000675,0.925413012405574,1.00203539757059
"21",1062000,1207548.15031188,1215816.9637377,0.879468035892158,0.99319896524523
"22",1085000,1225855.85675373,1214467.43859556,0.885095905870415,1.00937729394486
"23",1038000,1204241.56793249,1212094.21029594,0.861953305417034,0.993521425730154
"24",1023000,1213210.15910743,1209821.58617977,0.843217469224485,1.00280088648307
"25",1008000,1211083.98324027,1207059.8055915,0.832312221075774,1.00333386765936
"26",980000,1186687.86147589,1205349.04264191,0.825827946686137,0.98451802713916
"27",1139000,1207451.74259784,1208781.09029194,0.943308920611134,0.998900257701931
"28",1212000,1221643.03979434,1214285.98461033,0.992106499623689,1.00605874997921
"29",1184000,1223298.23921959,1216799.8950785,0.967875177156585,1.00534051997159
"30",1205000,1228897.68717126,1214034.35221911,0.980553558346853,1.01224292782571
"31",1174000,1204802.98416683,1206071.98555001,0.97443317739777,0.998947822851055
"32",1132000,1193227.20356292,1196854.05982623,0.948687724031019,0.996969675430739
"33",1064000,1182722.36057243,1189999.20548791,0.89961941658483,0.993885000189977
"34",993999.999999999,1180937.54980533,1186689.40401874,0.841704119039871,0.99515302471402
"35",931000,1183791.43153232,1186547.06717461,0.78645610637247,0.997677601067398
"36",938000,1194645.83107362,1186889.27081198,0.785169943762348,1.006535201263
"37",890999.999999999,1183526.88678102,1185609.71178941,0.752834608112167,0.998243245658596
"38",878000,1186905.12712701,1183211.97653578,0.739738990028008,1.00312129243489
"39",860000,1175817.68233323,1180722.0160929,0.73140590834921,0.995846326491059
"40",859000,1171509.72404027,1180441.00537046,0.733241886407483,0.992433945203908
"41",901000,1193036.42475926,1181864.73975334,0.755215835243092,1.00945259184926
"42",890999.999999999,1181394.83492148,1181254.63374968,0.754193241465471,1.00011868835711
"43",893000,1177062.88655316,1179233.78869011,0.758668045863726,0.998159057043846
"44",919999.999999999,1183704.08144069,1176771.38760034,0.777221278886072,1.00589128348412
"45",951000.000000001,1177119.34746375,1171749.71769315,0.80790448483329,1.00458257398275
"46",951999.999999999,1144025.63972503,1167654.17102005,0.832149181751566,0.979764101493875
"47",1062000,1185770.27109441,1167076.90515377,0.895620362466856,1.01601725289747
"48",1089000,1157853.65585161,1165666.11623634,0.940533369218435,0.993297857528919
"49",1127000,1158590.79191113,1164713.14356602,0.972733434331014,0.994743468219013
"50",1201000,1172812.71363072,1165657.20780563,1.02403391951816,1.0061386021355
"51",1260000,1170726.39112458,1164424.78296777,1.07625488718134,1.0054117777713
"52",1484000,1156988.45942453,1160806.93589617,1.28264027865768,0.996710498228807
"53",1618000,1146198.65274328,1159335.89823829,1.41162266778758,0.988668300951457
"54",1647000,1166536.71810082,1161601.82885073,1.41187154629938,1.00424834838197
"55",1649000,1176396.13869367,1162251.48037771,1.40173870498345,1.01217004973086
"56",1602000,1157717.19319568,1158004.95594012,1.38375763046065,0.999751501284197
"57",1591000,1154043.28225278,1151355.01968131,1.37863113495557,1.00233486850321
"58",1572000,1149422.88009493,1143013.97856426,1.36764286427827,1.00560701938109
"59",1541000,1121027.29210862,1134437.32085888,1.37463201016402,0.988179136472604
"60",1575000,1136837.60644214,1127586.77475774,1.38542214919256,1.00820409736216
"61",1513000,1115114.96924617,1120883.47761749,1.35681076994491,0.994853605672213
"62",1469000,1112815.7914394,1114874.01893373,1.32007472512579,0.998153847466725
"63",1421000,1115614.68926822,1109436.80063906,1.27373726221918,1.00556849081047
"64",1358000,1106613.93442646,1101790.87623342,1.22716690776519,1.00437747153029
"65",1288000,1095497.17742855,1091249.08505506,1.17572187910453,1.00389287141833
"66",1202000,1066771.03745842,1080996.66007723,1.12676474875411,0.986840271441925
"67",1174000,1071112.79616309,1075048.56704508,1.09605636699092,0.996338983183984
"68",1123000,1065448.48167897,1073653.85568281,1.05401623758508,0.992357523832836
"69",1112000,1084304.21435195,1073755.30413341,1.02554244950953,1.0098243148862
"70",1040000,1067459.65795607,1072774.45939078,0.974275694869215,0.995045742012039
"71",1006000,1073246.61984874,1071595.46193271,0.93734280769669,1.00154084071339
"72",965999.999999999,1068864.47884097,1071067.71653108,0.903762842832508,0.997942952013107
"73",923000,1069761.57308933,1071184.2236203,0.862809081218444,0.998671889951695
"74",915999.999999999,1070210.13389601,1072399.67668806,0.855906677565625,0.997958277273255
"75",921000.000000001,1085882.48046018,1072527.14915938,0.848158080246121,1.01245220814342
"76",883000,1067034.12843585,1069414.58066079,0.827527420603104,0.99777406043644
"77",872000,1063300.62516899,1065389.74752026,0.820087921853158,0.998039100379801
"78",858000.000000001,1058567.78491545,1063042.8977752,0.810529105671333,0.995790280082661
"79",982000,1074611.34405966,1060245.55367342,0.913818754499839,1.01354949363992
"80",1022000,1054859.39682602,1053758.06961857,0.968849500772435,1.0010451423711
"81",975000.000000001,1035802.14955902,1046526.116039,0.941299456093131,0.98975279611696
"82",975000.000000001,1023378.65558594,1045765.68599527,0.952726534482743,0.978592689826091
"83",1012000,1048662.16467369,1054230.43478513,0.965039108009491,0.994718166040637
"84",1021000,1075374.23688649,1066601.55823994,0.949436916915627,1.00822488827132
"85",993999.999999999,1092480.34831161,1074748.01026863,0.909856183258755,1.01649906570987
"86",935000,1089656.82201519,1074111.65712873,0.85806832124524,1.01447257813775
